sando_type,deliciousness,heaviness,reliability,frequency,between
Gus's Special,0.11,0.4,0.4,0,1000
Wild West,0.9500000000000001,0.85,0.7000000000000001,1,7
Valencia,0.8,0.01,0.4,4,3
Pan Handle,0.6900000000000001,0.5,0.2,0,5
Kezar,0.4,0.7000000000000001,0.6900000000000001,3,10
1906 (The Quake),0.55,0.8,0.5,1,4
Flashback Reuben,0.2,0.4,0.23,3,20
Meatball,0.4,0.55,0.05,7,1
710 BLT,0.9500000000000001,0.3,0.99,7,0
Pall Mall,0.5,0.23,0.44,3,50
